Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
1995,India,Punjab,Soybeans,20.86,1283.71,24.56,1.2240000000000002,8,82.82,10.0,29.4,46.0,Organic Farming,479.45
2003,Argentina,Northeast,Soybeans,33.88,2590.81,23.17,2.547,7,21.5,4.66,45.05,62.3,Crop Rotation,727.85
1998,Australia,Victoria,Fruits,8.51,1046.72,29.36,1.215,4,51.07,44.23,59.47,48.58,Water Management,412.13
1997,USA,Northeast,Soybeans,3.84,1178.99,2.49,1.33,1,46.12,3.82,56.68,54.04,Water Management,375.95
1999,Argentina,Northeast,Fruits,0.86,273.9,1.22,2.277,9,18.71,39.47,6.75,57.36,No Adaptation,488.49
2005,USA,Midwest,Fruits,17.33,1339.45,9.85,3.45,0,97.49,44.92,81.19,36.4,No Adaptation,1185.31
2004,Canada,British Columbia,Soybeans,29.61,1033.75,11.99,1.63,8,69.45,11.31,35.11,93.48,Drought-resistant Crops,193.86
2014,Nigeria,South East,Fruits,27.59,1314.12,25.65,1.152,4,66.76,33.03,63.98,65.8,Crop Rotation,240.63
2017,Argentina,Northwest,Rice,27.8,876.63,6.2,3.15,2,31.24,48.29,75.78,91.58,Organic Farming,704.54
2015,India,Punjab,Cotton,8.81,205.46,12.69,0.657,5,97.49,45.83,91.0,36.18,Crop Rotation,269.11
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42
2008,Argentina,Northwest,Wheat,3.83,1909.91,5.79,1.11,10,94.1,44.69,14.54,85.88,No Adaptation,544.02
2014,Australia,Queensland,Corn,16.2,2682.47,3.88,3.98,6,74.93,15.43,32.79,78.83,Water Management,871.41
2017,Nigeria,South West,Corn,16.52,2592.7,9.25,2.31,3,96.65,44.17,21.8,49.6,Organic Farming,950.32
2001,China,East,Corn,32.57,2108.28,28.63,3.1410000000000005,8,65.66,38.79,11.06,86.38,Drought-resistant Crops,1250.65
1990,Argentina,Pampas,Wheat,14.98,1175.6,25.88,4.383,8,57.06,20.34,60.94,65.92,No Adaptation,1177.04
2011,Canada,Ontario,Cotton,10.99,1951.52,21.07,2.601,10,17.1,31.51,0.53,93.87,Crop Rotation,413.3
1998,Canada,British Columbia,Corn,14.36,296.95,28.24,3.078,7,27.39,40.37,85.26,42.59,No Adaptation,713.53
1999,China,Central,Rice,31.26,853.27,29.68,1.404,1,14.25,38.96,13.79,52.42,Water Management,614.88
2010,Argentina,Patagonia,Soybeans,1.97,2570.13,23.17,2.556,5,80.65,28.8,73.42,88.46,Drought-resistant Crops,829.84
2015,Russia,Northwestern,Fruits,8.37,764.58,15.02,1.584,4,92.39,40.08,98.74,36.01,Water Management,231.72
2008,USA,West,Barley,24.57,1212.42,4.38,3.0,2,34.16,39.46,69.5,85.01,Organic Farming,1374.56
2014,Argentina,Northeast,Corn,34.88,2816.57,22.88,1.035,7,54.64,31.62,58.32,53.06,Organic Farming,428.81
2017,India,Tamil Nadu,Rice,25.13,917.26,16.93,1.566,0,76.86,41.65,5.9,33.24,Crop Rotation,354.12
1990,China,East,Wheat,15.42,269.76,29.93,2.007,5,70.8,49.57,22.82,67.66,Crop Rotation,795.47
2004,USA,South,Vegetables,-4.37,2292.03,29.68,2.583,2,13.27,22.33,52.3,97.11,No Adaptation,878.12
2024,China,Central,Rice,34.18,2247.4,27.31,3.33,7,21.7,27.31,99.55,69.96,Drought-resistant Crops,668.04
1993,France,Grand Est,Cotton,17.03,2963.0,15.89,3.015,10,90.01,45.42,97.86,64.64,Drought-resistant Crops,903.09
2023,USA,West,Corn,28.55,2395.28,6.0,2.17,6,30.69,6.61,9.43,31.11,Organic Farming,293.21
2003,Nigeria,South East,Wheat,32.69,2947.62,15.42,0.7290000000000001,10,56.93,4.64,14.98,76.36,Drought-resistant Crops,281.67
2023,India,Punjab,Barley,29.49,935.71,20.08,2.655,3,24.55,0.67,72.4,98.17,Drought-resistant Crops,1185.57
1995,Argentina,Northwest,Corn,4.73,2974.22,1.61,2.97,2,14.16,40.81,56.93,44.34,Drought-resistant Crops,658.82
2010,France,Grand Est,Fruits,19.91,852.78,4.05,2.09,0,82.37,43.0,39.09,62.78,Organic Farming,710.31
2010,Argentina,Patagonia,Barley,31.97,1101.92,14.96,1.99,10,59.55,25.43,39.1,34.42,No Adaptation,388.26
2007,France,Grand Est,Vegetables,28.35,2444.37,13.7,2.6,5,49.37,25.89,25.3,42.09,Crop Rotation,388.79
1995,Nigeria,South East,Coffee,11.56,2329.59,25.09,1.53,2,47.26,17.61,14.11,75.76,Drought-resistant Crops,457.67
2003,Russia,Central,Corn,4.3,2944.75,25.29,0.5940000000000001,3,75.39,2.98,63.54,38.98,Drought-resistant Crops,149.94
1991,China,South,Vegetables,1.28,1509.39,7.2,2.56,0,78.62,10.99,44.64,43.56,Crop Rotation,704.03
2023,China,South,Coffee,1.63,2849.39,10.63,1.01,8,22.35,40.22,77.36,62.31,Water Management,449.33
2003,Russia,Northwestern,Corn,3.21,1949.4,13.8,0.9,1,10.42,18.5,55.28,33.1,No Adaptation,234.2
1993,Argentina,Pampas,Barley,16.71,1542.5,5.86,3.85,7,65.03,43.62,92.96,39.76,No Adaptation,873.87
1995,France,Grand Est,Soybeans,27.16,1497.41,19.99,2.3400000000000003,10,30.3,38.61,48.12,58.51,Drought-resistant Crops,611.28
1997,Argentina,Patagonia,Vegetables,15.73,1302.95,23.33,2.988,5,75.15,0.25,2.76,82.94,Water Management,552.73
1991,India,Maharashtra,Wheat,10.87,333.73,23.89,1.872,0,81.17,43.3,72.31,91.02,No Adaptation,847.03
2013,Brazil,Northeast,Fruits,32.56,2844.46,1.63,3.69,7,84.92,37.54,9.09,97.38,Organic Farming,1045.41
2019,Argentina,Patagonia,Wheat,17.6,2432.88,14.56,4.87,10,73.27,20.18,6.68,71.26,Organic Farming,1853.02
2020,France,Nouvelle-Aquitaine,Sugarcane,17.81,796.73,10.18,3.67,6,58.78,1.44,75.03,57.88,Crop Rotation,1737.96
1990,France,Provence-Alpes-Cote d’Azur,Rice,23.2,1012.38,20.9,2.637,0,78.41,39.0,10.63,66.69,Drought-resistant Crops,843.96
1997,Nigeria,South East,Soybeans,4.88,708.98,3.03,2.93,4,77.1,18.45,54.79,53.34,Drought-resistant Crops,1216.18
2002,Brazil,Southeast,Wheat,16.35,248.51,11.88,3.357,0,24.7,27.26,36.21,81.57,No Adaptation,1403.94
1996,Brazil,South,Cotton,25.49,572.52,6.81,2.78,2,45.22,33.49,89.6,71.61,Drought-resistant Crops,971.09
2017,Brazil,Southeast,Soybeans,33.18,2917.84,17.54,3.5010000000000003,1,15.28,26.14,91.81,64.77,Water Management,1181.03
2003,France,Ile-de-France,Cotton,27.94,1819.47,7.62,3.82,6,87.99,36.28,74.59,42.72,Crop Rotation,1028.1
2004,India,Punjab,Vegetables,25.96,1160.56,16.49,3.321,3,36.44,39.72,99.88,77.14,Drought-resistant Crops,1499.9
1997,China,North,Fruits,14.81,1514.92,27.25,4.014,7,79.56,12.01,40.67,73.87,Crop Rotation,838.89
2000,Brazil,Southeast,Rice,33.06,465.15,9.33,3.051,4,90.52,15.95,46.05,36.68,Water Management,615.28
2011,Russia,Siberian,Soybeans,12.15,212.75,10.89,3.807,1,17.25,36.26,27.52,54.25,Crop Rotation,1843.68
2005,Brazil,North,Vegetables,21.28,1176.16,25.81,1.035,8,67.2,49.61,2.17,37.96,Organic Farming,258.14
2002,Russia,Siberian,Corn,31.96,1018.12,14.57,3.72,4,51.54,1.06,56.95,31.4,No Adaptation,1298.43
1994,Australia,Queensland,Corn,31.39,798.65,8.8,0.83,7,56.83,45.07,32.18,87.31,No Adaptation,389.41
2012,USA,South,Rice,11.88,1364.47,8.22,4.18,4,68.36,32.53,71.58,78.06,Water Management,1787.22
2024,Argentina,Patagonia,Rice,-1.03,1375.44,26.71,0.486,7,88.96,5.72,54.86,31.47,No Adaptation,204.96
1994,Canada,Ontario,Coffee,21.13,1073.43,26.99,0.954,1,58.11,31.47,56.19,83.8,Organic Farming,456.0
1992,Brazil,South,Rice,20.9,2339.05,1.77,2.31,2,82.68,43.59,42.7,54.24,Crop Rotation,552.67
2010,India,Tamil Nadu,Wheat,21.77,210.3,9.99,0.801,9,19.24,25.13,71.99,51.83,Water Management,100.84
2019,India,West Bengal,Fruits,-2.7,2741.68,7.91,1.74,10,35.05,45.26,42.16,93.52,Organic Farming,305.28
2009,Canada,Quebec,Cotton,28.85,2028.33,7.96,3.12,8,88.88,42.02,78.0,32.44,Crop Rotation,396.48
2019,Nigeria,South West,Vegetables,14.31,2022.69,27.14,3.78,6,91.55,43.62,46.35,40.85,Organic Farming,850.51
2018,France,Grand Est,Rice,1.69,1012.26,12.19,0.57,4,88.68,26.17,16.25,74.24,Water Management,183.67
1991,China,North,Vegetables,33.32,1456.66,16.4,1.791,4,86.49,30.54,53.49,59.54,Drought-resistant Crops,306.41
1992,India,West Bengal,Wheat,4.0,2553.17,3.48,2.29,10,67.29,47.98,25.83,62.31,Water Management,833.4
1999,Nigeria,South West,Corn,17.0,2502.55,4.88,3.26,0,33.91,44.82,94.42,42.89,Drought-resistant Crops,663.41
2009,Argentina,Patagonia,Cotton,1.63,1942.88,16.49,0.738,7,50.86,23.72,96.68,98.64,No Adaptation,75.25
2017,Nigeria,North Central,Cotton,6.68,2298.79,20.59,1.53,9,44.55,20.88,16.19,61.68,No Adaptation,580.38
2016,Russia,Siberian,Fruits,27.23,481.89,2.87,2.403,10,79.43,5.38,17.79,34.15,No Adaptation,988.55
1992,Argentina,Pampas,Rice,12.19,1357.22,19.44,2.394,8,81.02,48.28,27.59,42.97,Crop Rotation,913.1
2018,Canada,Ontario,Vegetables,32.26,1491.16,11.18,2.08,3,19.95,31.9,62.14,54.36,Drought-resistant Crops,817.56
2007,India,West Bengal,Rice,1.41,1433.18,19.37,1.782,5,79.11,14.82,89.32,59.11,Organic Farming,236.32
1995,India,West Bengal,Cotton,16.39,1428.32,24.65,2.385,6,98.06,26.21,97.73,59.59,Water Management,689.41
2002,France,Nouvelle-Aquitaine,Cotton,28.84,2179.58,5.9,3.74,3,60.02,46.67,68.67,78.81,Drought-resistant Crops,547.46
2011,Nigeria,North Central,Cotton,27.48,874.46,22.34,3.402,8,40.45,46.63,37.36,63.71,Drought-resistant Crops,1499.57
1991,Canada,British Columbia,Wheat,8.13,2051.08,17.28,1.098,5,98.24,11.56,14.17,58.95,Drought-resistant Crops,369.05
2023,China,Central,Vegetables,2.04,2149.31,14.69,2.97,0,52.9,30.39,76.8,88.82,Drought-resistant Crops,875.71
2007,China,North,Sugarcane,24.47,1646.89,11.21,2.04,10,25.3,32.98,68.66,91.42,Organic Farming,937.12
2001,Brazil,South,Corn,-1.45,1389.08,23.59,2.439,4,39.1,43.63,47.33,56.63,Crop Rotation,366.9
2013,Nigeria,South East,Soybeans,29.12,2010.44,21.89,2.1870000000000003,9,80.23,26.64,55.08,61.82,Crop Rotation,579.77
1992,China,North,Sugarcane,7.06,416.45,1.35,1.404,10,96.22,43.96,48.55,96.09,Drought-resistant Crops,292.31
2006,Brazil,Southeast,Fruits,32.45,2580.32,10.97,3.79,5,44.69,38.67,54.72,42.23,Drought-resistant Crops,669.94
2019,Australia,New South Wales,Cotton,31.6,2790.32,13.98,0.87,10,66.9,42.72,30.6,77.27,Crop Rotation,409.2
1999,USA,Midwest,Fruits,23.99,2699.58,3.26,1.17,6,98.4,26.55,40.53,77.68,Organic Farming,581.73
1996,India,Tamil Nadu,Wheat,19.32,1896.87,4.49,4.77,9,89.2,24.85,43.11,69.6,No Adaptation,716.72
1998,USA,South,Fruits,29.37,522.22,4.89,1.02,9,70.35,38.94,83.36,51.73,Drought-resistant Crops,305.42
2021,Brazil,South,Coffee,7.83,254.8,15.02,2.574,3,55.91,18.76,8.27,67.69,Organic Farming,1095.07
2018,USA,Northeast,Barley,26.81,1496.37,24.25,1.2240000000000002,2,47.67,2.4,40.19,54.11,No Adaptation,511.51
2000,Russia,Volga,Soybeans,32.89,1533.09,20.34,3.015,1,58.75,5.1,73.73,33.32,Water Management,1449.08
1997,Canada,British Columbia,Vegetables,19.83,2968.49,26.13,2.268,3,76.75,31.85,58.85,86.44,Crop Rotation,578.12
1994,Russia,Siberian,Fruits,13.05,1951.82,20.76,2.547,10,98.63,23.35,96.89,46.25,Crop Rotation,983.49
2012,Argentina,Pampas,Cotton,15.16,2475.16,27.31,3.717,5,83.34,15.67,28.56,98.12,Drought-resistant Crops,1117.25
2009,India,West Bengal,Cotton,19.21,1773.68,28.44,3.375,2,75.15,38.67,91.81,36.04,Organic Farming,1121.3
2017,Brazil,South,Corn,7.58,222.48,17.26,1.134,2,70.69,21.15,62.77,77.85,No Adaptation,230.89
2012,Canada,Quebec,Coffee,9.37,479.27,7.62,2.331,6,53.63,12.33,27.94,96.64,Drought-resistant Crops,1065.72
2009,Argentina,Northeast,Barley,31.32,249.92,9.55,0.81,6,28.44,29.23,34.74,99.42,Organic Farming,390.22
2007,France,Nouvelle-Aquitaine,Cotton,15.89,1598.84,8.91,3.34,7,50.61,43.07,55.63,41.76,Organic Farming,1255.07
2019,Canada,Ontario,Barley,12.72,690.97,1.4,3.11,1,41.29,9.18,39.58,39.39,Crop Rotation,1216.48
2000,Argentina,Pampas,Barley,24.86,2796.86,29.93,2.79,3,32.03,43.59,48.93,61.56,No Adaptation,576.25
2022,Nigeria,North Central,Rice,22.94,658.01,17.28,2.547,5,88.58,17.01,64.93,67.19,No Adaptation,917.35
2016,Nigeria,South West,Coffee,1.03,884.03,6.75,1.4,0,87.34,20.59,62.53,99.45,Drought-resistant Crops,642.22
1999,China,Central,Wheat,16.71,2872.79,20.51,2.385,0,35.52,20.33,92.92,59.57,Water Management,384.54
2002,Russia,Volga,Sugarcane,23.12,484.61,24.01,2.4120000000000004,7,16.23,13.34,92.5,36.52,Crop Rotation,370.95
2019,Canada,British Columbia,Sugarcane,9.43,2895.67,22.42,1.251,6,68.37,6.83,51.42,84.67,No Adaptation,414.26
2022,Australia,Queensland,Barley,31.16,998.03,21.35,1.305,3,86.93,23.38,20.89,42.06,Water Management,229.2
2014,Nigeria,South West,Barley,28.7,1342.69,1.94,0.84,5,95.15,0.26,78.99,48.67,Organic Farming,298.98
2021,USA,South,Barley,26.14,525.27,17.02,3.087,5,25.85,31.22,95.66,73.96,No Adaptation,990.99
2019,Argentina,Northwest,Wheat,23.67,1698.27,14.92,1.55,0,46.46,21.98,16.64,97.79,Water Management,485.7
2014,France,Ile-de-France,Fruits,28.96,2572.95,19.43,1.305,8,51.7,37.79,25.26,42.41,Water Management,541.26
2003,France,Provence-Alpes-Cote d’Azur,Sugarcane,20.87,638.11,20.1,3.24,3,98.75,49.74,70.07,62.11,Drought-resistant Crops,1084.32
2009,USA,Northeast,Corn,1.03,980.26,3.89,1.27,4,30.26,23.15,97.14,92.9,No Adaptation,284.28
1991,Russia,Siberian,Rice,34.79,2519.56,20.39,3.123,3,72.14,24.46,31.99,86.16,Drought-resistant Crops,871.95
2018,Nigeria,North West,Barley,17.25,2237.11,7.82,3.81,0,29.4,44.58,78.53,31.13,No Adaptation,841.95
2024,Argentina,Northeast,Fruits,5.5,2318.53,25.71,1.179,2,97.24,5.04,10.35,95.84,Organic Farming,405.77
2003,Russia,Volga,Vegetables,26.27,1140.8,28.61,3.3120000000000003,5,31.35,42.01,35.03,98.48,Drought-resistant Crops,1002.58
2023,Nigeria,South East,Rice,4.06,2266.41,21.65,2.628,5,89.58,11.01,6.54,46.38,No Adaptation,910.16
2010,Argentina,Pampas,Rice,22.28,1203.83,5.49,1.65,7,23.62,42.29,39.39,86.6,Organic Farming,280.62
2014,Nigeria,South East,Soybeans,9.78,2308.31,28.63,1.755,0,99.05,48.27,0.83,64.62,Water Management,543.49
2000,Russia,Siberian,Sugarcane,22.44,2087.3,12.77,2.97,3,93.78,0.1,10.34,89.42,Water Management,1043.39
2011,Brazil,South,Vegetables,3.65,1051.32,29.15,1.215,5,36.91,47.54,88.15,65.62,Water Management,401.52
2013,Australia,Victoria,Cotton,19.05,1803.57,20.95,2.205,0,47.52,15.3,70.81,59.65,Water Management,684.7
2015,Nigeria,North West,Coffee,-0.07,1964.25,4.98,2.97,3,28.45,11.17,1.56,56.55,Crop Rotation,1308.39
2019,Canada,Quebec,Cotton,29.2,2218.48,19.63,1.2060000000000002,5,21.82,17.11,68.49,57.86,Organic Farming,512.14
2024,USA,Northeast,Coffee,5.11,974.91,14.66,1.54,0,14.41,47.89,66.05,39.63,Crop Rotation,280.27
1992,India,Punjab,Cotton,17.32,2277.07,18.06,1.818,3,77.61,13.12,78.69,31.88,Crop Rotation,224.71
1998,USA,South,Corn,1.57,1564.04,28.92,2.268,9,85.6,3.79,84.38,56.56,Water Management,790.31
2011,Brazil,North,Sugarcane,22.27,330.29,14.57,1.278,5,50.61,0.38,22.45,44.23,No Adaptation,142.22
2011,France,Ile-de-France,Soybeans,13.61,398.13,17.14,1.6740000000000002,5,64.55,6.27,23.05,98.91,Crop Rotation,702.5
1993,France,Grand Est,Wheat,16.29,1128.82,24.69,3.492,3,60.87,5.69,84.57,69.21,Organic Farming,1130.85
2010,France,Provence-Alpes-Cote d’Azur,Vegetables,21.68,1853.22,15.08,1.638,0,47.5,5.63,3.48,52.81,No Adaptation,531.85
2015,USA,Midwest,Coffee,19.03,477.93,13.29,2.043,4,10.74,49.74,47.81,49.98,No Adaptation,350.89
2002,China,South,Rice,13.51,225.75,3.99,1.719,0,35.32,14.34,74.23,99.43,Organic Farming,576.93
2011,Canada,British Columbia,Soybeans,25.6,1395.44,6.88,3.15,5,64.92,42.6,53.51,96.87,Crop Rotation,1152.83
2017,China,North,Rice,15.88,1959.04,20.4,3.249,2,74.42,35.26,74.94,89.33,Crop Rotation,1409.89
2008,USA,South,Coffee,30.31,1938.77,16.56,2.763,7,51.96,16.56,51.24,30.31,Organic Farming,393.12
1991,Nigeria,North Central,Wheat,-2.96,1625.84,15.59,2.385,5,73.44,7.59,69.57,32.43,Organic Farming,381.46
2024,France,Ile-de-France,Rice,27.48,587.95,19.38,0.801,8,27.8,6.4,80.49,64.81,Drought-resistant Crops,195.31
2018,France,Nouvelle-Aquitaine,Vegetables,29.79,748.85,29.59,3.321,10,23.61,7.34,32.3,41.13,Drought-resistant Crops,632.77
2013,Brazil,Northeast,Fruits,-3.02,1036.05,22.95,0.7110000000000001,10,56.63,38.17,54.23,61.29,Water Management,89.19
2016,Brazil,North,Wheat,12.62,2892.79,21.43,2.394,5,54.46,1.31,11.12,65.05,Organic Farming,276.01
2008,Australia,Western Australia,Sugarcane,12.62,2186.48,5.91,2.43,1,76.98,19.59,56.91,47.45,Organic Farming,255.87
1990,China,South,Fruits,30.56,1809.86,12.2,3.1,9,50.28,10.05,31.06,89.02,Drought-resistant Crops,1464.87
2003,Nigeria,South East,Rice,27.68,2702.05,12.52,1.09,3,38.12,20.73,42.79,40.11,Organic Farming,412.8
1991,China,South,Soybeans,29.98,2659.63,22.53,1.242,0,32.22,36.46,6.99,56.14,Organic Farming,208.03
2019,USA,Northeast,Fruits,25.69,2478.96,10.87,3.71,0,87.88,2.28,99.35,69.25,Organic Farming,1164.38
1991,China,North,Cotton,22.85,242.85,28.17,0.936,9,38.44,47.26,48.42,55.28,No Adaptation,282.29
2010,Australia,Queensland,Corn,22.29,1663.53,10.78,1.78,8,32.1,24.62,97.56,83.84,Drought-resistant Crops,517.54
2001,France,Nouvelle-Aquitaine,Fruits,-2.59,1756.92,18.81,2.511,6,43.77,40.32,78.79,30.68,Crop Rotation,1143.49
2006,Nigeria,South West,Barley,-0.13,1561.24,12.11,1.37,10,19.79,0.08,36.44,95.53,No Adaptation,423.45
2010,Nigeria,South East,Vegetables,22.06,1972.87,4.08,1.02,8,82.68,13.72,8.49,34.64,Drought-resistant Crops,475.63
2015,Argentina,Northeast,Wheat,26.6,813.91,3.55,2.84,4,43.95,35.93,92.37,90.72,Drought-resistant Crops,1136.97
2011,Argentina,Northeast,Fruits,18.03,1565.6,23.49,2.3400000000000003,9,35.34,46.89,65.01,64.26,No Adaptation,780.44
2009,Russia,Central,Wheat,7.24,2034.91,2.15,2.62,1,14.24,19.04,26.51,72.17,Organic Farming,747.22
1999,Nigeria,North Central,Rice,26.1,2006.34,9.07,3.12,1,58.38,48.22,4.56,63.95,No Adaptation,813.37
2002,USA,South,Vegetables,32.45,2246.53,9.24,3.74,8,43.68,17.49,20.94,38.67,Crop Rotation,496.11
2004,Australia,New South Wales,Soybeans,21.44,989.41,29.41,1.2060000000000002,8,37.14,24.19,16.89,37.35,Drought-resistant Crops,201.34
1992,Nigeria,South West,Fruits,8.33,2035.07,3.42,1.73,8,18.16,39.48,88.67,72.33,Crop Rotation,708.57
2013,Nigeria,South West,Wheat,5.5,1258.04,11.47,1.49,5,36.6,20.35,24.62,74.39,Drought-resistant Crops,716.19
1993,France,Grand Est,Corn,18.87,1876.09,17.01,2.385,2,75.29,3.77,88.76,39.7,Water Management,979.53
2001,Australia,Western Australia,Vegetables,26.68,1972.81,28.43,1.809,4,68.74,2.64,94.47,75.37,Water Management,402.92
1996,Canada,Ontario,Vegetables,9.45,541.87,23.86,0.774,5,31.63,26.17,64.69,73.52,Organic Farming,121.54
2022,France,Nouvelle-Aquitaine,Cotton,2.42,2275.38,10.62,1.26,0,14.7,18.24,27.29,97.62,Water Management,340.02
2024,Nigeria,South East,Coffee,28.8,966.11,6.05,1.13,2,76.96,26.48,98.23,53.95,No Adaptation,234.91
2007,India,Tamil Nadu,Coffee,3.88,2415.63,7.79,2.28,9,93.68,17.59,78.0,93.68,Crop Rotation,250.66
1995,Canada,British Columbia,Soybeans,3.5,887.29,11.0,1.23,0,23.27,47.92,7.53,32.04,Drought-resistant Crops,305.67
2005,Brazil,North,Coffee,2.84,1627.65,10.44,1.67,7,53.53,5.61,12.37,34.36,Water Management,635.14
2015,Australia,Victoria,Fruits,12.03,2609.84,3.98,4.7,9,46.55,24.13,17.19,48.08,Organic Farming,937.98
1993,France,Ile-de-France,Rice,5.17,2518.64,0.7,1.72,2,13.99,10.53,12.33,74.61,No Adaptation,188.4
1996,Canada,Quebec,Barley,-1.15,537.17,22.92,1.548,7,93.38,5.43,46.51,44.0,Crop Rotation,287.51
2023,Russia,Central,Sugarcane,23.01,1305.66,5.2,1.7,5,96.54,4.61,48.52,75.25,Crop Rotation,802.52
2012,Russia,Volga,Barley,21.46,1809.41,9.31,1.34,10,88.47,41.4,23.5,66.86,No Adaptation,334.79
